"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3137358";"SIMEPREVIR SODIUM";"OLYSIO|SIMEPREVIR SODIUM";"Small molecule";"4";"771.94";"";"";"5.25";"156.89";"10";"2";"2";"8";"N";"0.29";"3.77";"1.60";"4.56";"3.61";"3";"MOL";"0";"52";"12";"2";"3";"749.2917";"ACID";"C38H46N5NaO7S2";"COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)[N-]S(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C.[Na+]";"LLXQGDWGCCKOQP-MVZLLIIPSA-M"
"CHEMBL3990346";"DROXINAVIR";"DROXINAVIR";"Small molecule";"0";"533.76";"";"";"2.68";"122.80";"5";"5";"1";"13";"N";"0.27";"12.55";"8.50";"2.67";"1.54";"1";"MOL";"0";"38";"9";"5";"1";"533.3941";"BASE";"C29H51N5O4";"CNCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CCC(C)C)C(=O)NC(C)(C)C)C(C)(C)C";"ICOKEKQSBZSLIB-JBRSBNLGSA-N"
"CHEMBL1323";"DARUNAVIR";"DARUNAVIR|MC-114|PREZISTA|TMC 114|TMC-114|TMC-41629|TMC114|UIC-94017|UIC-940T";"Small molecule";"4";"547.67";"29";"655";"2.38";"140.42";"8";"3";"1";"11";"N";"0.36";"13.59";"2.39";"2.82";"2.82";"2";"MOL";"0";"38";"10";"4";"1";"547.2352";"NEUTRAL";"C27H37N3O7S";"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1";"CJBJHOAVZSMMDJ-HEXNFIEUSA-N"
"CHEMBL1255891";"NARLAPREVIR";"NARLAPREVIR|SCH 900518|SCH-900518";"Small molecule";"3";"707.98";"6";"39";"3.62";"170.85";"7";"4";"1";"13";"N";"0.21";"12.32";"None";"3.50";"3.50";"0";"MOL";"0";"49";"12";"4";"2";"707.4292";"NEUTRAL";"C36H61N5O7S";"CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1";"RICZEKWVNZFTNZ-LFGITCQGSA-N"
"CHEMBL218394";"BOCEPREVIR";"BOCEPREVIR|EBP 520|EBP-520|SCH 503034|SCH-503034|VICTRELIS";"Small molecule";"4";"519.69";"52";"416";"1.71";"150.70";"5";"4";"1";"8";"N";"0.36";"12.44";"None";"1.78";"1.78";"0";"MOL";"0";"37";"10";"5";"1";"519.3421";"NEUTRAL";"C27H45N5O5";"CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C";"LHHCSNFAOIFYRV-DOVBMPENSA-N"
"CHEMBL114";"SAQUINAVIR";"Fortovase|Invirase|RO 31-8959/000|Ro-31-8959|SAQUINAVIR|SAQUINAVIRUM|SCH-52852";"Small molecule";"4";"670.86";"195";"1422";"3.09";"166.75";"7";"5";"1";"12";"N";"0.20";"13.61";"8.47";"3.16";"2.05";"3";"MOL";"0";"49";"11";"6";"3";"670.3843";"NEUTRAL";"C38H50N6O5";"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1";"QWAXKHKRTORLEM-UGJKXSETSA-N"
"CHEMBL258734";"DANOPREVIR";"DANOPREVIR|R-05190591|R05190591|RO-5190591|RO5190591";"Small molecule";"3";"731.84";"23";"167";"3.14";"180.52";"9";"3";"1";"5";"N";"0.38";"3.77";"None";"2.55";"1.61";"1";"MOL";"0";"51";"14";"3";"2";"731.3000";"ACID";"C35H46FN5O9S";"CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O";"ZVTDLPBHTSMEJZ-JSZLBQEHSA-N"
"CHEMBL3040582";"DELDEPREVIR";"ACH-0142684|ACH-2684|DELDEPREVIR|NECEPREVIR";"Small molecule";"0";"911.11";"";"";"6.41";"177.20";"11";"2";"3";"10";"N";"0.22";"3.77";"1.59";"5.34";"4.40";"3";"MOL";"0";"63";"14";"2";"3";"910.3569";"ACID";"C45H56F2N6O8S2";"COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](CC(=O)N5CCCC(F)(F)C5)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C";"UDMJANYPQWEDFT-ZAWFUYGJSA-N"
"CHEMBL2104331";"LASINAVIR";"BMS-234475|CGP-61755|LASINAVIR";"Small molecule";"0";"659.82";"";"";"3.66";"153.68";"9";"4";"1";"18";"N";"0.18";"12.32";"None";"3.68";"3.68";"2";"MOL";"0";"47";"12";"4";"2";"659.3782";"NEUTRAL";"C35H53N3O9";"COCCNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OC)c(OC)c1OC)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C";"BEUUJDAEPJZWHM-COROXYKFSA-N"
"CHEMBL297884";"CILUPREVIR";"BILN 2061 ZW|BILN-2061|BILN-2061-ZW|CILUPREVIR";"Small molecule";"2";"774.94";"14";"253";"6.05";"181.31";"11";"4";"3";"9";"N";"0.19";"3.71";"2.36";"5.40";"2.27";"3";"MOL";"0";"55";"14";"4";"3";"774.3411";"ACID";"C40H50N6O8S";"COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1";"PJZPDFUUXKKDNB-KNINVFKUSA-N"
"CHEMBL1241348";"FALDAPREVIR";"BI 201335|BI-201335|BI201335|FALDAPREVIR";"Small molecule";"3";"869.84";"84";"153";"6.30";"198.38";"11";"4";"3";"13";"N";"0.14";"3.38";"1.11";"6.51";"2.99";"3";"MOL";"0";"57";"15";"4";"3";"868.2465";"ACID";"C40H49BrN6O9S";"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)O";"LLGDPTDZOVKFDU-XUHJSTDZSA-N"
"CHEMBL1200734";"FOSAMPRENAVIR CALCIUM";"FOSAMPRENAVIR CALCIUM|FOSAMPRENAVIR CALCIUM SALT|GW 433908G|GW-433908G|Lexiva|TELZIR";"Small molecule";"4";"623.68";"1";"6";"2.52";"177.72";"8";"4";"1";"13";"N";"0.20";"1.22";"2.45";"1.92";"-1.20";"2";"MOL";"0";"39";"12";"5";"2";"585.1910";"ACID";"C25H34CaN3O9PS";"CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1.[Ca+2]";"PMDQGYMGQKTCSX-HQROKSDRSA-L"
"CHEMBL1664";"FOSAMPRENAVIR";"FOSAMPRENAVIR|Fosamprenavir|GW-433908|GW433908|GW433908A";"Small molecule";"4";"585.62";"7";"32";"2.52";"177.72";"8";"4";"1";"13";"N";"0.20";"1.22";"2.45";"1.92";"-1.20";"2";"MOL";"0";"39";"12";"5";"2";"585.1910";"ACID";"C25H36N3O9PS";"CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1";"MLBVMOWEQCZNCC-OEMFJLHTSA-N"
"CHEMBL116";"AMPRENAVIR";"141 W94|141W94|AMPRENAVIR|Agenerase|J05AE05|KVX-478|VX-478";"Small molecule";"4";"505.64";"147";"1199";"2.40";"131.19";"7";"3";"1";"11";"N";"0.40";"13.61";"2.39";"2.43";"2.43";"2";"MOL";"0";"35";"9";"4";"1";"505.2247";"NEUTRAL";"C25H35N3O6S";"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1";"YMARZQAQMVYCKC-OEMFJLHTSA-N"
